NIU,PERSO_JUR,REGIME_2022,PROFIL_2022,CENTRE_2022,CRI_2022,QUAL_NIU_2022,LOG_CA_2022,LOG_CA_EXP_2022,LOG_VAL_EXP_2022,LOG_VAL_IMP_2022,RATIO_EXP_CA_2022,RATIO_IMP_CA_2022,ECART_EXP_DOUANE_2022,RATIO_ECART_2022,EVOL_CA_2122,INTENSITE_EXP_2022,INTENSITE_IMP_2022,NIU_MAUVAIS,SCORE_FICH_2022,SCORE_DEV_2022,SCORE_RCA_2022,FRAUDE_2022
1,Personne morale,RSI,C,CDI,CRIC1,Bon,0.0,0.0,17.830585047287038,0.0,0.0,0.0,55427423.0,55427423.0,0.0,1,0,0,1,1,0,1
2,Personne morale,HRI,C,CDI,CRIC1,Bon,0.0,0.0,21.253729887469586,0.0,0.0,0.0,1699720881.0,1699720881.0,0.0,1,0,0,1,1,0,1
3,Personne morale,RSI,C,CDI,CRIC1,Bon,0.0,0.0,17.744156946163795,0.0,0.0,0.0,50838115.0,50838115.0,0.0,1,0,0,1,2,0,1
4,Personne morale,RSI,C,CDI,CRIC1,Bon,0.0,0.0,18.26435770960403,0.0,0.0,0.0,85528285.0,85528285.0,0.0,1,0,0,1,2,0,1
5,Personne morale,RSI,C,CDI,CRIC1,Bon,0.0,0.0,17.96677754044129,0.0,0.0,0.0,63514420.0,63514420.0,0.0,1,0,0,1,2,0,1
6,Personne morale,RSI,C,CDI,CRIC1,Bon,0.0,0.0,21.125801871503896,0.0,0.0,0.0,1495612817.0,1495612817.0,0.0,1,0,0,1,2,0,1
7,Personne physique,RSI,C,CDI,CRIE,Bon,0.0,0.0,18.71537815874562,0.0,0.0,0.0,134272000.0,134272000.0,0.0,1,0,0,2,1,0,1
8,Personne physique,IL,C,CDI,CRIE,Bon,0.0,0.0,19.5526665592488,0.0,0.0,0.0,310181000.0,310181000.0,0.0,1,0,0,2,1,0,1
9,Personne physique,RSI,C,CDI,CRIE,Bon,0.0,0.0,18.406074601710138,0.0,0.0,0.0,98550000.0,98550000.0,0.0,1,0,0,2,1,0,1
10,Personne physique,RSI,C,CDI,CRIEN,Bon,0.0,0.0,18.228890512410317,0.0,0.0,0.0,82548000.0,82548000.0,0.0,1,0,0,1,1,0,1
11,Personne morale,RSI,C,CDI,CRIEN,Bon,0.0,0.0,18.93888329714328,0.0,0.0,0.0,167900700.0,167900700.0,0.0,1,0,0,2,1,0,1
12,Personne physique,HRI,C,CDI,CRIEN,Bon,0.0,0.0,21.555476527338627,0.0,0.0,0.0,2298394165.0,2298394165.0,0.0,1,0,0,2,1,0,1
